December 2019,,
Rank,Instructor's Code,Revenue After VAT
84,mai.laddawan.01,"4,995"
85,mai.piyavalee.01,"43,404"
86,mai.piyavalee.02,"45,332"
87,man.thanakon.01,"2,748"
88,man.thanakon.02,750
89,ming.tanapa.01,"125,730"
90,mongkol.astro.01,"36,963"
91,name.pongsakorn.01,"1,998"
92,nan.nantpipat.01,"11,880"
93,nan.nantpipat.06,"1,998"
94,naruemol.01,"261,609"
95,naruemol.02,"54,930"
96,naruemol.03,"41,354"
97,nat.nattasira.01,899
98,native.08,999
99,natthnisa.studioacademy.01,"50,150"
100,new.eakpob.01,"5,994"
101,nhow.manit.01,"154,440"
102,nid.chanidaba.01,"158,410"
103,niwat.churat.01,"35,061"
104,noi.nareesa.01,"4,495"
105,nong.alongkon.02,"51,642"
106,nong.chuanphit.01,"315,684"
107,nook.lapatrada.01,"67,932"
108,nop.noppadon.01,999
109,nopp.noppakhun.01,"19,980"
110,nui.arun.01,"52,448"
111,nui.chang.01,899
112,nuong.tanavit.01,999
113,nut.kamonnat.01,"37,620"
114,nut.kamonnat.02,"44,550"
115,nut.nuttawat.01,990
116,nut.nuttawat.02,"36,630"
117,nut.phojanakorn.01,"69,300"
118,oh.pavinee.01,"160,839"
119,oh.pavinee.02,"3,996"
120,ohm.chanteyoon.01,"148,365"
121,ome.chonlatid.01,"20,372"
122,pae.santapol.01,"73,139"
123,pakorn.02,699
124,pang.papawadee.01,"36,630"
125,pang.papawadee.02,"4,950"
126,pang.phitsanukhom.01,"279,720"
127,pat.patanapas.01,"22,977"
128,pat.phatraporn.01,"1,980"
129,patriq.techit.02,"17,982"
130,paul.warathaphon.01,"76,923"
131,peat.kitsana.01,"52,470"
132,peat.sutthirat.01,990
133,peng.worawut.01,"2,897"
134,peng.worawut.02,"95,704"
135,peung.artplayer.01,"5,394"
136,pichart.yapan.01,"157,842"
137,pin.saypin.01,"1,798"
138,ping.titi.01,650
139,pingpong.phongkit.01,700
140,pipit.pipit.02,"78,313"
141,poj.suttipoj.01,"11,880"
142,pompam.saowapa.01,899
143,pook.nassara.01,"1,989"
144,pook.wattanee.01,999
145,pop.chake.01,999
146,poppy.yang.01,"159,216"
147,poppy.yang.02,"12,700"
148,pote.sompote.01,"271,269"
149,poy.pornpat.01,"1,690"
150,pu.narusamon.01,"168,300"
151,puay.sirinda.01,"4,950"
152,pui.pakorn.01,"4,995"
153,ram.thunchanok.01,"2,997"
154,reawadee.01,"41,453"
155,ruj.nopparuj.01,899
156,sai.nuanlahong.01,"1,120"
157,samroeng.01,"32,520"
158,sarun.sarun.02,999
159,satapol.eta.01,"224,196"
160,sit.poompat.01,"33,574"
161,sit.poompat.02,"2,970"
162,sit.poompat.03,"13,765"
163,smilecookingclub.08,"36,963"
164,smilecookingclub.10,"10,890"
165,smilecookingclub.11,"114,885"
166,sorn.pisuttisak.01,"4,500"
167,suhari.graphic.01,"38,704"
168,tai.boontarika.01,999
169,tar.ruch.01,"19,980"
170,tee.chaitat.01,"222,750"
171,tingly.rachata.01,"7,920"
172,tingly.rachata.02,"90,288"
173,tingly.rachata.03,"2,577"
174,tingly.rachata.04,"111,888"
175,tingly.rachata.05,"40,712"
176,tingly.rachata.06,"3,996"
177,tong.duriyang.01,"10,989"
178,tong.rattawarin.01,"60,390"
179,top.sutee.01,"152,830"
180,tor.surat.01,"138,420"
181,tor.surat.02,"96,120"
182,tum.nuttawut.01,"291,459"
183,tum.nuttawut.02,"6,734"
184,tum.pitoon.01,"10,275"
185,tum.pitoon.02,"3,996"
186,tum.pitoon.03,"81,828"
187,tum.pitoon.05,"18,070"
188,tum.pitoon.06,"11,120"
189,tun.tunchakon.01,700
190,tun.tunchakon.02,"3,696"
191,ung.chaiwut.01,"3,596"
192,ung.chaiwut.02,"1,998"
193,ung.chaiwut.03,999
194,ung.chaiwut.04,999
195,up.lalana.01,"70,290"
196,vee.veerachai.01,"1,798"
197,wan.ritwan.01,990
198,wasan.wasan.01,990
199,wat.chaiwat.01,"1,390"
200,winner.estate.01,"57,420"
201,wit.chatuwit.01,"1,980"
202,wit.narongwit.01,999
203,woratep.02,999
204,x.pacapol.01,999
205,ya.suriya.01,"44,955"
206,ya.suriya.02,"8,580"
207,ya.suriya.04,"248,649"
208,ya.suriya.05,"1,980"
209,yai.worawut.01,999
210,yoo.piyaree.01,"174,825"
211,yoong.phayoongsak.02,"349,500"
212,yut.sensei.01,"72,240"
213,yut.sensei.02,"72,240"
214,Accuracy.Solution.01,"95,040"
215,Kwanrudee.01,"43,956"
216,Level.Up.01,"13,986"
217,Meen.Thetarot.05,"5,994"
218,Mind.English.01,"11,988"
219,Mind.English.02,"3,996"
220,Patch.Patcharanan.01,"8,991"
221,Ploy.Patchara.01,"2,699"
222,Ploy.Patchara.02,"1,120"
223,Ploy.Patchara.03,"4,560"
224,Ploy.Patchara.04,"1,998"
225,Vichai.Vongsilpavattana.01,999
